Gene,OMIM_en,OMIM_cn
NOP10,"Dyskeratosis congenita, autosomal recessive 1(OMIM:224230, AR)","先天性角化不良，常染色体隐性遗传 1(OMIM:224230, AR)"
CRYAA,"Cataract 9, multiple types(OMIM:604219, AD, AR)","白内障 9，多种类型(OMIM:604219, AD, AR)"
BCKDK,"Branched-chain keto acid dehydrogenase kinase deficiency(OMIM:614923, nan)","支链酮酸脱氢酶激酶缺乏症(OMIM:614923, nan)"
NPC2,"Niemann-pick disease, type C2(OMIM:607625, AR)","Niemann-pick 病，C2 型(OMIM:607625, AR)"
LHFPL5,"Deafness, autosomal recessive 67(OMIM:610265, AR)","耳聋，常染色体隐性遗传 67(OMIM:610265, AR)"
MTHFR,"{Schizophrenia, susceptibility to}(OMIM:181500, AD);{Neural tube defects, susceptibility to}(OMIM:601634, AR);{Thromboembolism, susceptibility to}(OMIM:188050, AD);Homocystinuria due to MTHFR deficiency(OMIM:236250, AR)","{精神分裂症，易感性}(OMIM:181500, AD);{神经管缺陷，易感性}(OMIM:601634, AR);{血栓栓塞，易感性}(OMIM:188050, AD);MTHFR缺乏引起的同型半胱氨酸尿症(OMIM:236250, AR)"
SLC6A5,"Hyperekplexia 3(OMIM:614618, AD, AR)","惊恐症 3(OMIM:614618, AD, AR)"
SH3BP2,"Cherubism(OMIM:118400, AD)","小天使(OMIM:118400, AD)"
PCYT2,"Spastic paraplegia 82, autosomal recessive(OMIM:618770, AR)","痉挛性截瘫 82，常染色体隐性遗传(OMIM:618770, AR)"
UROS,"Porphyria, congenital erythropoietic(OMIM:263700, AR)","卟啉症，先天性红细胞生成(OMIM:263700, AR)"
VHL,"Renal cell carcinoma, somatic(OMIM:144700, nan);Pheochromocytoma(OMIM:171300, AD);von Hippel-Lindau syndrome(OMIM:193300, AD);Erythrocytosis, familial, 2(OMIM:263400, AR)","肾细胞癌，体细胞(OMIM:144700, nan);嗜铬细胞瘤(OMIM:171300, AD);von Hippel-Lindau 综合征(OMIM:193300, AD);红细胞增多症，家族性，2(OMIM:263400, AR)"
THRB,"Thyroid hormone resistance, selective pituitary(OMIM:145650, AD);Thyroid hormone resistance(OMIM:188570, AD);Thyroid hormone resistance, autosomal recessive(OMIM:274300, AR)","甲状腺激素抵抗，选择性垂体(OMIM:145650, AD);甲状腺激素抵抗(OMIM:188570, AD);甲状腺激素抵抗，常染色体隐性遗传(OMIM:274300, AR)"
ZBTB11,"Intellectual developmental disorder, autosomal recessive 69(OMIM:618383, AR)","智力发育障碍，常染色体隐性遗传 69(OMIM:618383, AR)"
TTC19,"Mitochondrial complex III deficiency, nuclear type 2(OMIM:615157, AR)","线粒体复合体 III 缺乏，核型 2(OMIM:615157, AR)"
AICDA,"Immunodeficiency with hyper-IgM, type 2(OMIM:605258, AR)","高 IgM 免疫缺陷，2 型(OMIM:605258, AR)"
ALDOA,"Glycogen storage disease XII(OMIM:611881, AR)","糖原贮积病 XII(OMIM:611881, AR)"
SCN2B,"Atrial fibrillation, familial, 14(OMIM:615378, AD)","心房颤动，家族性，14(OMIM:615378, AD)"
EDNRA,"Mandibulofacial dysostosis with alopecia(OMIM:616367, AD)","下颌面骨发育不全伴脱发(OMIM:616367, AD)"
USP53,"Cholestasis, progressive familial intrahepatic, 7, with or without hearing loss(OMIM:619658, AR)","胆汁淤积，进行性家族性肝内，7，有或没有听力损失(OMIM:619658, AR)"
UBQLN2,"Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia(OMIM:300857, XLD)","肌萎缩侧索硬化症 15，伴或不伴额颞叶痴呆(OMIM:300857, XLD)"
CTNNB1,"Colorectal cancer, somatic(OMIM:114500, nan);Hepatocellular carcinoma, somatic(OMIM:114550, nan);Pilomatricoma, somatic(OMIM:132600, nan);Medulloblastoma, somatic(OMIM:155255, nan);Ovarian cancer, somatic(OMIM:167000, nan);Neurodevelopmental disorder with spastic diplegia and visual defects(OMIM:615075, AD);Exudative vitreoretinopathy 7(OMIM:617572, AD)","结直肠癌，体细胞(OMIM:114500, nan);肝细胞癌，体细胞(OMIM:114550, nan);毛母细胞瘤，体细胞(OMIM:132600, nan);髓母细胞瘤，体细胞(OMIM:155255, nan);卵巢癌，体细胞(OMIM:167000, nan);伴有痉挛性瘫痪和视觉缺陷的神经发育障碍(OMIM:615075, AD);渗出性玻璃体视网膜病变 7(OMIM:617572, AD)"
KCNA1,"Episodic ataxia/myokymia syndrome(OMIM:160120, AD)","发作性共济失调/肌运动综合征(OMIM:160120, AD)"
NODAL,"Heterotaxy, visceral, 5(OMIM:270100, AD)","异质性，内脏，5(OMIM:270100, AD)"
SEMA7A,"[Blood group, John-Milton-Hagen system](OMIM:614745, nan);?Cholestasis, progressive familial intrahepatic, 11(OMIM:619874, AR)","【血型，John-Milton-Hagen系统】(OMIM:614745, nan);?胆汁淤积，进行性家族性肝内，11(OMIM:619874, AR)"
RPS19,"Diamond-Blackfan anemia 1(OMIM:105650, AD)","Diamond-Blackfan 贫血 1(OMIM:105650, AD)"
TIRAP,"{Tuberculosis, protection against}(OMIM:607948, nan);{Malaria, protection against}(OMIM:611162, nan);{Bacteremia, protection against}(OMIM:614382, nan)","{结核病，预防}(OMIM:607948, nan);{疟疾，预防}(OMIM:611162, nan);{菌血症，预防}(OMIM:614382, nan)"
PEPD,"Prolidase deficiency(OMIM:170100, AR)","脯氨酸酶缺乏症(OMIM:170100, AR)"
MEOX1,"Klippel-Feil syndrome 2(OMIM:214300, AR)","Klippel-Feil 综合征 2(OMIM:214300, AR)"
COLEC10,"3MC syndrome 3(OMIM:248340, AR)","3MC 综合征 3(OMIM:248340, AR)"
PTH1R,"Failure of tooth eruption, primary(OMIM:125350, AD);Metaphyseal chondrodysplasia, Murk Jansen type(OMIM:156400, AD);Chondrodysplasia, Blomstrand type(OMIM:215045, AR);Eiken syndrome(OMIM:600002, AR)","牙齿萌出失败，原发性(OMIM:125350, AD);干骺端软骨发育不良，Murk Jansen 型(OMIM:156400, AD);软骨发育不良，Blomstrand 型(OMIM:215045, AR);橡树综合征(OMIM:600002, AR)"
HSPB1,"Charcot-Marie-Tooth disease, axonal, type 2F(OMIM:606595, AD);Neuronopathy, distal hereditary motor, type IIB(OMIM:608634, AD)","Charcot-Marie-Tooth 病，轴突，2F 型(OMIM:606595, AD);神经元病，远端遗传性运动，IIB 型(OMIM:608634, AD)"
IRF5,"{Inflammatory bowel disease 14}(OMIM:612245, nan);{Systemic lupus erythematosus, susceptibility to, 10}(OMIM:612251, nan)","{炎症性肠病 14}(OMIM:612245, nan);{系统性红斑狼疮，易感性，10}(OMIM:612251, nan)"
HCF2,"Thrombophilia 10 due to heparin cofactor II deficiency(OMIM:612356, AD)","肝素辅因子 II 缺乏引起的血栓形成倾向 10(OMIM:612356, AD)"
RAPSN,"Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency(OMIM:616326, AR);Fetal akinesia deformation sequence 2(OMIM:618388, AR)","与乙酰胆碱受体缺乏相关的先天性肌无力综合征，11 岁(OMIM:616326, AR);胎儿运动不能变形序列2(OMIM:618388, AR)"
LYRM4,"?Combined oxidative phosphorylation deficiency 19(OMIM:615595, AR)","?联合氧化磷酸化缺乏症 19(OMIM:615595, AR)"
CYB561,"Orthostatic hypotension 2(OMIM:618182, AR)","体位性低血压 2(OMIM:618182, AR)"
FERMT3,"Leukocyte adhesion deficiency, type III(OMIM:612840, AR)","白细胞粘附缺陷，III型(OMIM:612840, AR)"
MYO6,"Deafness, autosomal dominant 22(OMIM:606346, AD);Deafness, autosomal dominant 22, with hypertrophic cardiomyopathy(OMIM:606346, AD);Deafness, autosomal recessive 37(OMIM:607821, AR)","耳聋，常染色体显性遗传 22(OMIM:606346, AD);耳聋，常染色体显性遗传 22，伴有肥厚型心肌病(OMIM:606346, AD);耳聋，常染色体隐性遗传 37(OMIM:607821, AR)"
HBA1,"Heinz body anemias, alpha-(OMIM:140700, AD);Thalassemias, alpha-(OMIM:604131, nan);Hemoglobin H disease, nondeletional(OMIM:613978, nan);Methemoglobinemia, alpha type(OMIM:617973, AD);Erythrocytosis 7(OMIM:617981, AD)","亨氏体贫血，α-(OMIM:140700, AD);地中海贫血，α-(OMIM:604131, nan);血红蛋白 H 病，非缺失(OMIM:613978, nan);高铁血红蛋白血症，α型(OMIM:617973, AD);红细胞增多症 7(OMIM:617981, AD)"
TBC1D20,"Warburg micro syndrome 4(OMIM:615663, AR)","Warburg 微综合征 4(OMIM:615663, AR)"
CACNA1G,"Spinocerebellar ataxia 42(OMIM:616795, AD);Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits(OMIM:618087, AD)","脊髓小脑共济失调 42(OMIM:616795, AD);脊髓小脑性共济失调 42，早发，严重，伴有神经发育缺陷(OMIM:618087, AD)"
GRXCR2,"?Deafness, autosomal recessive 101(OMIM:615837, AR)","?耳聋，常染色体隐性遗传 101(OMIM:615837, AR)"
FCGR2A,"{Lupus nephritis, susceptibility to}(OMIM:152700, AD);{Pseudomonas aeruginosa, susceptibility to chronic infection by, in cystic fibrosis}(OMIM:219700, AR);{Malaria, severe, susceptibility to}(OMIM:611162, nan)","{狼疮性肾炎，易感}(OMIM:152700, AD);{绿脓杆菌，易受慢性感染，囊性纤维化}(OMIM:219700, AR);{疟疾，严重，易感}(OMIM:611162, nan)"
TMEM98,"Nanophthalmos 4(OMIM:615972, AD)","纳米眼 4(OMIM:615972, AD)"
PNKD,"Paroxysmal nonkinesigenic dyskinesia 1(OMIM:118800, AD)","阵发性非运动性运动障碍 1(OMIM:118800, AD)"
ADGRG1,"Polymicrogyria, bilateral frontoparietal(OMIM:606854, AR);Polymicrogyria, bilateral perisylvian(OMIM:615752, nan)","多小脑回，双侧额顶(OMIM:606854, AR);多小脑回，双侧外侧裂(OMIM:615752, nan)"
TNNI3K,"Cardiac conduction disease with or without dilated cardiomyopathy(OMIM:616117, AD)","心脏传导疾病伴或不伴扩张型心肌病(OMIM:616117, AD)"
TPM3,"Myopathy, congenital, with fiber-type disproportion(OMIM:255310, AD, AR);Nemaline myopathy 1, autosomal dominant or recessive(OMIM:609284, AD, AR);CAP myopathy 1(OMIM:609284, AD, AR)","肌病，先天性，纤维型不均衡(OMIM:255310, AD, AR);线型肌病 1，常染色体显性或隐性(OMIM:609284, AD, AR);CAP 肌病 1(OMIM:609284, AD, AR)"
LRBA,"Immunodeficiency, common variable, 8, with autoimmunity(OMIM:614700, AR)","免疫缺陷，共同变量，8，伴有自身免疫(OMIM:614700, AR)"
CARD9,"Candidiasis, familial, 2, autosomal recessive(OMIM:212050, AR)","念珠菌病，家族性，2，常染色体隐性遗传(OMIM:212050, AR)"
HUWE1,"Intellectual developmental disorder, X-linked, Turner type(OMIM:309590, XL)","智力发育障碍，X连锁，特纳型(OMIM:309590, XL)"
MED27,"Neurodevelopmental disorder with spasticity, cataracts, and cerebellar hypoplasia(OMIM:619286, AR)","伴有痉挛、白内障和小脑发育不全的神经发育障碍(OMIM:619286, AR)"
SLC19A3,"Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2)(OMIM:607483, AR)","硫胺素代谢功能障碍综合征 2（生物素或硫胺素反应性脑病 2 型）(OMIM:607483, AR)"
RSPH4A,"Ciliary dyskinesia, primary, 11(OMIM:612649, nan)","纤毛运动障碍，原发性，11(OMIM:612649, nan)"
OTOF,"Deafness, autosomal recessive 9(OMIM:601071, AR);Auditory neuropathy, autosomal recessive, 1(OMIM:601071, AR)","耳聋，常染色体隐性遗传 9(OMIM:601071, AR);听神经病，常染色体隐性遗传，1(OMIM:601071, AR)"
KCNJ11,"{Diabetes mellitus, type 2, susceptibility to}(OMIM:125853, AD);Hyperinsulinemic hypoglycemia, familial, 2(OMIM:601820, AD, AR);Diabetes mellitus, transient neonatal 3(OMIM:610582, AD);Maturity-onset diabetes of the young, type 13(OMIM:616329, AD);Diabetes, permanent neonatal 2, with or without neurologic features(OMIM:618856, AD)","{糖尿病，2型，易感}(OMIM:125853, AD);高胰岛素性低血糖症，家族性，2(OMIM:601820, AD, AR);糖尿病，短暂性新生儿 3(OMIM:610582, AD);青少年 13 型成人型糖尿病(OMIM:616329, AD);糖尿病，永久性新生儿 2，有或没有神经系统特征(OMIM:618856, AD)"
CCL3,"{HIV infection, resistance to}(OMIM:609423, nan)","{HIV感染，抵抗}(OMIM:609423, nan)"
AAAS,"Achalasia-addisonianism-alacrimia syndrome(OMIM:231550, AR)","贲门失弛缓症-阿狄森氏症-泪液障碍综合征(OMIM:231550, AR)"
GYS2,"Glycogen storage disease 0, liver(OMIM:240600, AR)","糖原贮积病 0, 肝脏(OMIM:240600, AR)"
SMPD1,"Niemann-Pick disease, type A(OMIM:257200, AR);Niemann-Pick disease, type B(OMIM:607616, AR)","尼曼-匹克病，A 型(OMIM:257200, AR);尼曼-匹克病，B 型(OMIM:607616, AR)"
FKBP10,"Bruck syndrome 1(OMIM:259450, AR);Osteogenesis imperfecta, type XI(OMIM:610968, AR)","布鲁克综合征 1(OMIM:259450, AR);成骨不全症，XI型(OMIM:610968, AR)"
ALPC,"Alopecia, congenital(OMIM:300042, XL)","先天性脱发(OMIM:300042, XL)"
SLC17A3,"{Gout susceptibility 4}(OMIM:612671, AD);[Uric acid concentration, serum, QTL4](OMIM:612671, AD)","{痛风易感性 4}(OMIM:612671, AD);[尿酸浓度、血清、QTL4](OMIM:612671, AD)"
MYH3,"Arthrogryposis, distal, type 2B3 (Sheldon-Hall)(OMIM:618436, AD);Arthrogryposis, distal, type 2A (Freeman-Sheldon)(OMIM:193700, AD);Contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A(OMIM:178110, AD);Contractures, pterygia, and spondylocarpotarsal fusion syndrome 1B(OMIM:618469, AR)","2B3 型远端关节弯曲（Sheldon-Hall）(OMIM:618436, AD);2A 型远端关节弯曲 (Freeman-Sheldon)(OMIM:193700, AD);挛缩、翼状胬肉和脊椎腕跖骨融合综合征 1A(OMIM:178110, AD);挛缩、翼状胬肉和脊椎腕关节融合综合征 1B(OMIM:618469, AR)"
KERA,"Cornea plana 2, autosomal recessive(OMIM:217300, AR)","角膜平面 2，常染色体隐性遗传(OMIM:217300, AR)"
PIEZO2,"Arthrogryposis, distal, type 5(OMIM:108145, AD);Arthrogryposis, distal, type 3(OMIM:114300, AD);?Marden-Walker syndrome(OMIM:248700, AD);Arthrogryposis, distal, with impaired proprioception and touch(OMIM:617146, AR)","关节弯曲，远端，5 型(OMIM:108145, AD);3型远端关节弯曲(OMIM:114300, AD);?马登-沃克综合征(OMIM:248700, AD);远端关节弯曲，本体感觉和触觉受损(OMIM:617146, AR)"
RPSA,"Asplenia, isolated congenital(OMIM:271400, AD)","无脾，孤立的先天性(OMIM:271400, AD)"
KCNJ6,"Keppen-Lubinsky syndrome(OMIM:614098, AD)","Keppen-Lubinsky 综合征(OMIM:614098, AD)"
RHOBTB2,"Developmental and epileptic encephalopathy 64(OMIM:618004, AD)","发育性和癫痫性脑病 64(OMIM:618004, AD)"
NDUFS2,"Mitochondrial complex I deficiency, nuclear type 6(OMIM:618228, AR)","线粒体复合体 I 缺乏，核 6 型(OMIM:618228, AR)"
EXOC8,"?Neurodevelopmental disorder with microcephaly, seizures, and brain atrophy(OMIM:619076, AR)","? 伴有小头畸形、癫痫发作和脑萎缩的神经发育障碍(OMIM:619076, AR)"
CFAP52,"Heterotaxy, visceral, 10, autosomal, with male infertility(OMIM:619607, AR)","异位性，内脏，10，常染色体，男性不育(OMIM:619607, AR)"
MLH1,"Muir-Torre syndrome(OMIM:158320, AD);Mismatch repair cancer syndrome 1(OMIM:276300, AR);Colorectal cancer, hereditary nonpolyposis, type 2(OMIM:609310, nan)","穆尔-托雷综合征(OMIM:158320, AD);错配修复癌症综合征 1(OMIM:276300, AR);结直肠癌，遗传性非息肉病，2 型(OMIM:609310, nan)"
FGB,"Afibrinogenemia, congenital(OMIM:202400, AR);Hypofibrinogenemia, congenital(OMIM:202400, AR);Dysfibrinogenemia, congenital(OMIM:616004, nan)","先天性无纤维蛋白原血症(OMIM:202400, AR);先天性低纤维蛋白原血症(OMIM:202400, AR);先天性纤维蛋白原异常(OMIM:616004, nan)"
TBX20,"Atrial septal defect 4(OMIM:611363, nan)","房间隔缺损 4(OMIM:611363, nan)"
ZNF335,"Microcephaly 10, primary, autosomal recessive(OMIM:615095, AR)","小头畸形 10，原发性，常染色体隐性遗传(OMIM:615095, AR)"
LDLR,"LDL cholesterol level QTL2(OMIM:143890, AD, AR);Hypercholesterolemia, familial, 1(OMIM:143890, AD, AR)","低密度脂蛋白胆固醇水平 QTL2(OMIM:143890, AD, AR);高胆固醇血症，家族性，1(OMIM:143890, AD, AR)"
SLC1A4,"Spastic tetraplegia, thin corpus callosum, and progressive microcephaly(OMIM:616657, AR)","痉挛性四肢瘫痪、胼胝体薄和进行性小头畸形(OMIM:616657, AR)"
CLCN4,"Raynaud-Claes syndrome(OMIM:300114, XLD)","雷诺-克莱斯综合征(OMIM:300114, XLD)"
MTRFR,"Combined oxidative phosphorylation deficiency 7(OMIM:613559, AR);Spastic paraplegia 55, autosomal recessive(OMIM:615035, AR)","联合氧化磷酸化缺陷 7(OMIM:613559, AR);痉挛性截瘫 55，常染色体隐性遗传(OMIM:615035, AR)"
YY1,"Gabriele-de Vries syndrome(OMIM:617557, AD)","加布里埃尔-德弗里斯综合征(OMIM:617557, AD)"
IFT172,"Retinitis pigmentosa 71(OMIM:616394, AR);Short-rib thoracic dysplasia 10 with or without polydactyly(OMIM:615630, AR);Bardet-Biedl syndrome 20(OMIM:619471, AR)","色素性视网膜炎 71(OMIM:616394, AR);胸廓发育不良 10 伴或不伴多指畸形(OMIM:615630, AR);Bardet-Biedl 综合征 20(OMIM:619471, AR)"
LMNA,"Lipodystrophy, familial partial, type 2(OMIM:151660, AD);Cardiomyopathy, dilated, 1A(OMIM:115200, AD);Hutchinson-Gilford progeria(OMIM:176670, AD);Emery-Dreifuss muscular dystrophy 2, autosomal dominant(OMIM:181350, AD);Malouf syndrome(OMIM:212112, AD);Mandibuloacral dysplasia(OMIM:248370, AR);Charcot-Marie-Tooth disease, type 2B1(OMIM:605588, AR);Heart-hand syndrome, Slovenian type(OMIM:610140, AD);Muscular dystrophy, congenital(OMIM:613205, AD);Emery-Dreifuss muscular dystrophy 3, autosomal recessive(OMIM:616516, AR);Restrictive dermopathy 2(OMIM:619793, nan)","脂肪代谢障碍，家族性部分，2 型(OMIM:151660, AD);心肌病，扩张型，1A(OMIM:115200, AD);哈钦森-吉尔福德早衰症(OMIM:176670, AD);Emery-Dreifuss 肌营养不良症 2，常染色体显性遗传(OMIM:181350, AD);马洛夫综合征(OMIM:212112, AD);下颌骨发育不良(OMIM:248370, AR);Charcot-Marie-Tooth 病，2B1 型(OMIM:605588, AR);心手综合征，斯洛文尼亚型(OMIM:610140, AD);肌肉萎缩症，先天性(OMIM:613205, AD);Emery-Dreifuss 肌营养不良症 3，常染色体隐性遗传(OMIM:616516, AR);限制性皮肤病 2(OMIM:619793, nan)"
FGD4,"Charcot-Marie-Tooth disease, type 4H(OMIM:609311, AR)","Charcot-Marie-Tooth 病，4H 型(OMIM:609311, AR)"
FRMD4A,"?Corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia(OMIM:616819, AR)","? 胼胝体发育不全，伴有面部异常和小脑性共济失调(OMIM:616819, AR)"
MAN2C1,"Congenital disorder of deglycosylation 2(OMIM:619775, AR)","先天性去糖基化障碍 2(OMIM:619775, AR)"
FGF20,"?Renal hypodysplasia/aplasia 2(OMIM:615721, AR)","?肾发育不良/发育不全2(OMIM:615721, AR)"
KIT,"Mastocytosis, cutaneous(OMIM:154800, AD);Mastocytosis, systemic, somatic(OMIM:154800, nan);Piebaldism(OMIM:172800, AD);Germ cell tumors, somatic(OMIM:273300, nan);Leukemia, acute myeloid, somatic(OMIM:601626, nan);Gastrointestinal stromal tumor, familial(OMIM:606764, AD, IC)","肥大细胞增多症，皮肤(OMIM:154800, AD);肥大细胞增多症，全身，体细胞(OMIM:154800, nan);花斑病(OMIM:172800, AD);生殖细胞肿瘤，体细胞(OMIM:273300, nan);白血病，急性髓系，体细胞(OMIM:601626, nan);胃肠道间质瘤，家族性(OMIM:606764, AD, IC)"
NAGS,"N-acetylglutamate synthase deficiency(OMIM:237310, AR)","N-乙酰谷氨酸合成酶缺乏症(OMIM:237310, AR)"
DCAF17,"Woodhouse-Sakati syndrome(OMIM:241080, AR)","Woodhouse-Sakati 综合征(OMIM:241080, AR)"
PGM3,"Immunodeficiency 23(OMIM:615816, AR)","免疫缺陷 23(OMIM:615816, AR)"
CTDP1,"Congenital cataracts, facial dysmorphism, and neuropathy(OMIM:604168, AR)","先天性白内障、面部畸形和神经病变(OMIM:604168, AR)"
IGHM,"Agammaglobulinemia 1(OMIM:601495, AR)","无丙种球蛋白血症 1(OMIM:601495, AR)"
LYST,"Chediak-Higashi syndrome(OMIM:214500, AR)","Chediak-Higashi 综合征(OMIM:214500, AR)"
NEU1,"Sialidosis, type II(OMIM:256550, AR);Sialidosis, type I(OMIM:256550, AR)","唾液酸贮积症，II 型(OMIM:256550, AR);唾液酸贮积症，I型(OMIM:256550, AR)"
F9,"Thrombophilia 8, X-linked, due to factor IX defect(OMIM:300807, XLR);{Deep venous thrombosis, protection against}(OMIM:300807, XLR);{Warfarin sensitivity}(OMIM:301052, XL);Hemophilia B(OMIM:306900, XLR)","血栓形成倾向 8，X 连锁，由于 IX 因子缺陷(OMIM:300807, XLR);{深静脉血栓形成，预防}(OMIM:300807, XLR);{华法林敏感性}(OMIM:301052, XL);血友病B(OMIM:306900, XLR)"
LMAN1,"Combined factor V and VIII deficiency(OMIM:227300, AR)","因子 V 和 VIII 联合缺乏症(OMIM:227300, AR)"
IL12B,"Immunodeficiency 29, mycobacteriosis(OMIM:614890, AR)","免疫缺陷 29，分枝杆菌病(OMIM:614890, AR)"
CRTAP,"Osteogenesis imperfecta, type VII(OMIM:610682, AR)","成骨不全症，VII型(OMIM:610682, AR)"
MYPN,"Cardiomyopathy, hypertrophic, 22(OMIM:615248, AD);Cardiomyopathy, dilated, 1KK(OMIM:615248, AD);Cardiomyopathy, familial restrictive, 4(OMIM:615248, AD);Nemaline myopathy 11, autosomal recessive(OMIM:617336, AR)","心肌病，肥厚，22(OMIM:615248, AD);心肌病，扩张型，1KK(OMIM:615248, AD);心肌病，家族限制性，4(OMIM:615248, AD);线型肌病 11，常染色体隐性遗传(OMIM:617336, AR)"
COL3A1,"Ehlers-Danlos syndrome, vascular type(OMIM:130050, AD);Polymicrogyria with or without vascular-type EDS(OMIM:618343, AR)","Ehlers-Danlos 综合征，血管型(OMIM:130050, AD);多小脑回伴或不伴血管型 EDS(OMIM:618343, AR)"
HIBCH,"3-hydroxyisobutryl-CoA hydrolase deficiency(OMIM:250620, AR)","3-羟基异丁酰辅酶A水解酶缺乏症(OMIM:250620, AR)"
FGF5,"Trichomegaly(OMIM:190330, AR)","毛发增多症(OMIM:190330, AR)"
ASPM,"Microcephaly 5, primary, autosomal recessive(OMIM:608716, AR)","小头畸形 5，原发性，常染色体隐性遗传(OMIM:608716, AR)"
TUB,"?Retinal dystrophy and obesity(OMIM:616188, AR)","?视网膜营养不良和肥胖(OMIM:616188, AR)"
RPL18,"?Diamond-Blackfan anemia 18(OMIM:618310, AD)","?Diamond-Blackfan 贫血 18(OMIM:618310, AD)"
RIT1,"Noonan syndrome 8(OMIM:615355, AD)","努南综合征 8(OMIM:615355, AD)"
ADAMTS10,"Weill-Marchesani syndrome 1, recessive(OMIM:277600, AR)","Weill-Marchesani 综合征 1，隐性(OMIM:277600, AR)"
CR2,"{Systemic lupus erythematosus, susceptibility to, 9}(OMIM:610927, nan);Immunodeficiency, common variable, 7(OMIM:614699, AR)","{系统性红斑狼疮，易感性，9}(OMIM:610927, nan);免疫缺陷，共同变量，7(OMIM:614699, AR)"
TFAM,"?Mitochondrial DNA depletion syndrome 15 (hepatocerebral type)(OMIM:617156, AR)","?线粒体DNA耗竭综合征15（肝脑型）(OMIM:617156, AR)"
KCNJ18,"{Thyrotoxic periodic paralysis, susceptibility to, 2}(OMIM:613239, AD)","{甲状腺毒性周期性麻痹，易感性，2}(OMIM:613239, AD)"
ORC4,"Meier-Gorlin syndrome 2(OMIM:613800, AR)","Meier-Gorlin 综合征 2(OMIM:613800, AR)"
C2CD3,"Orofaciodigital syndrome XIV(OMIM:615948, AR)","口颌面指综合征 XIV(OMIM:615948, AR)"
MYBPC3,"Cardiomyopathy, hypertrophic, 4(OMIM:115197, AD, AR);Left ventricular noncompaction 10(OMIM:615396, AD);Cardiomyopathy, dilated, 1MM(OMIM:615396, AD)","心肌病，肥厚，4(OMIM:115197, AD, AR);左心室致密化不全 10(OMIM:615396, AD);心肌病，扩张型，1MM(OMIM:615396, AD)"
ARL2BP,"Retinitis pigmentosa with or without situs inversus(OMIM:615434, AR)","视网膜色素变性伴或不伴内翻(OMIM:615434, AR)"
COQ5,"?Coenzyme Q10 deficiency, primary, 9(OMIM:619028, AR)","?辅酶 Q10 缺乏症，原发性，9(OMIM:619028, AR)"
LPA,"{Coronary artery disease, susceptibility to}(OMIM:618807, AD);[LPA deficiency, congenital](OMIM:618807, AD)","{冠状动脉疾病，易感性}(OMIM:618807, AD);[LPA缺乏，先天性](OMIM:618807, AD)"
RARS1,"Leukodystrophy, hypomyelinating, 9(OMIM:616140, AR)","白细胞营养不良，髓鞘功能减退，9(OMIM:616140, AR)"
CRYM,"Deafness, autosomal dominant 40(OMIM:616357, AD)","耳聋，常染色体显性遗传 40(OMIM:616357, AD)"
MCOPS10,"Microphthalmia, syndromic 10(OMIM:611222, nan)","小眼症，综合征 10(OMIM:611222, nan)"
HGSNAT,"Retinitis pigmentosa 73(OMIM:616544, AR);Mucopolysaccharidosis type IIIC (Sanfilippo C)(OMIM:252930, AR)","色素性视网膜炎 73(OMIM:616544, AR);IIIC型粘多糖贮积症（Sanfilippo C）(OMIM:252930, AR)"
UBIAD1,"Corneal dystrophy, Schnyder type(OMIM:121800, AD)","角膜营养不良，施奈德型(OMIM:121800, AD)"
PROKR2,"Hypogonadotropic hypogonadism 3 with or without anosmia(OMIM:244200, AD)","低促性腺激素性腺功能减退症 3 伴或不伴嗅觉丧失(OMIM:244200, AD)"
C1QTNF5,"Retinal degeneration, late-onset, autosomal dominant(OMIM:605670, AD)","视网膜变性，迟发性，常染色体显性遗传(OMIM:605670, AD)"
UBE2T,"Fanconi anemia, complementation group T(OMIM:616435, AR)","Fanconi 贫血，T 组互补(OMIM:616435, AR)"
ABCA7,"{Alzheimer disease 9, susceptibility to}(OMIM:608907, AD)","{阿尔茨海默病 9，易感性}(OMIM:608907, AD)"
TRAF3IP2,"{Psoriasis susceptibility 13}(OMIM:614070, nan);?Candidiasis, familial, 8(OMIM:615527, AR)","{牛皮癣易感性 13}(OMIM:614070, nan);? 念珠菌病，家族性，8(OMIM:615527, AR)"
SLC2A9,"Hypouricemia, renal, 2(OMIM:612076, AD, AR);{Uric acid concentration, serum, QTL 2}(OMIM:612076, AD, AR)","低尿酸血症，肾，2(OMIM:612076, AD, AR);{尿酸浓度、血清、QTL 2}(OMIM:612076, AD, AR)"
CAMK2B,"Intellectual developmental disorder, autosomal dominant 54(OMIM:617799, AD)","智力发育障碍，常染色体显性遗传 54(OMIM:617799, AD)"
FBXO7,"Parkinson disease 15, autosomal recessive(OMIM:260300, AR)","帕金森病 15，常染色体隐性遗传(OMIM:260300, AR)"
GPD1L,"Brugada syndrome 2(OMIM:611777, nan)","Brugada 综合征 2(OMIM:611777, nan)"
SCZD11,"{Schizophrenia}(OMIM:181500, AD)","{精神分裂症}(OMIM:181500, AD)"
